CMDLINE python script2.py
MEM 2706.535156 1588687989.8423
MEM 2900.140625 1588687989.9430
MEM 3082.894531 1588687990.0437
MEM 3246.839844 1588687990.1445
MEM 3430.882812 1588687990.2452
MEM 3592.738281 1588687990.3460
MEM 3109.199219 1588687990.4598
MEM 3114.007812 1588687990.5691
MEM 3110.722656 1588687990.6692
MEM 3098.199219 1588687990.7699
MEM 2190.671875 1588687990.8707
MEM 2145.105469 1588687990.9853
MEM 2140.832031 1588687991.0874
MEM 2143.222656 1588687991.1967
MEM 1519.457031 1588687991.2969
MEM 657.238281 1588687991.4050
MEM 259.515625 1588687991.5161
MEM 160.519531 1588687991.6170
MEM 160.519531 1588687991.7177
MEM 160.519531 1588687991.8185
MEM 160.519531 1588687991.9193
MEM 160.519531 1588687992.0212
MEM 160.519531 1588687992.1219
MEM 160.519531 1588687992.2228
MEM 160.519531 1588687992.3238
MEM 160.519531 1588687992.4243
MEM 160.273438 1588687992.5244
MEM 149.449219 1588687992.6263
MEM 143.261719 1588687992.7330
MEM 143.285156 1588687992.8395
MEM 143.253906 1588687992.9519
MEM 143.320312 1588687993.0588
